purchase_id,fiscal_year,org_code,organization,project_name,season,production_category,banner_account_code,request_type,is_credit_card,requisition_number,reference_number,po_number,invoice_number,vendor_name,title,procurement_status,budget_status,estimated_amount,requested_amount,encumbered_amount,pending_cc_amount,posted_amount,ordered_on,received_on,paid_on,notes,reporting_budget_code,reporting_line
987ef736-ec09-426d-a411-68a6deb05a63,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Props,11304,requisition,FALSE,R0018118,R0018118,EP017592,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0018118",paid,posted,172.24,0,0,0,172.24,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11304",11304,Props
1341860e-d456-4d0e-9354-87e48775d583,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Props,11304,requisition,FALSE,R0018131,R0018131,EP017604,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0018131",paid,posted,70.31,0,0,0,70.31,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11304",11304,Props
3b5bc426-ed46-483a-8694-84f420668a04,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Props,11304,expense,TRUE,null,null,null,null,null,Props November,statement_paid,pending_cc,175,0,0,160.28,0,null,null,null,null,11304,Props
ec232544-c0bf-4d41-be33-4cc927bff269,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Costumes,11305,requisition,FALSE,R0017366,R0017366,EP016879,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0017366",paid,posted,156.31,0,0,0,156.31,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11305",11305,Costumes
23e8e12e-ed6d-46bd-bce4-2ee1d7452c71,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Costumes,11305,requisition,FALSE,R0017478,R0017478,EP016994,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0017478",paid,posted,43.97,0,0,0,43.97,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11305",11305,Costumes
5f311a80-1a2d-4a48-bf32-46b83d351bfa,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Costumes,11305,requisition,FALSE,R0017542,R0017542,EP017057,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0017542",paid,posted,36.9,0,0,0,36.9,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11305",11305,Costumes
6a9c5ba7-b545-43e2-89e7-bb242aa30008,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Costumes,11305,requisition,FALSE,R0017679,R0017679,EP017180,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0017679",paid,posted,439.82,0,0,0,439.82,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11305",11305,Costumes
02d704d5-64aa-476c-9bd1-474a8b464fc7,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Costumes,11305,requisition,FALSE,R0017827,R0017827,EP017323,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0017827",paid,posted,61.94,0,0,0,61.94,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11305",11305,Costumes
e4cb7980-db4c-4787-b45b-67e5bac33e9e,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Costumes,11305,requisition,FALSE,R0017936,R0017936,EP017419,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0017936",paid,posted,138.44,0,0,0,138.44,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11305",11305,Costumes
f0b4dc8f-3dbd-41d6-b09e-41c2d20a3079,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Costumes,11305,requisition,FALSE,R0017969,R0017969,EP017438,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0017969",paid,posted,33.96,0,0,0,33.96,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11305",11305,Costumes
aaba635c-9111-4af1-8d23-e5ce51c5da1b,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Costumes,11305,requisition,FALSE,R0017971,R0017971,EP017444,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0017971",paid,posted,13.98,0,0,0,13.98,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11305",11305,Costumes
967a5495-5d28-455f-8d0b-7493d9dfd48b,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Costumes,11305,requisition,FALSE,R0018043,R0018043,EP017512,null,The Costumer,The Costumer - R0018043,paid,posted,85.38,0,0,0,85.38,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11305",11305,Costumes
