FISCAL_YEAR,ORGN_CODE,FUND_CODE,ACCT_CODE,ACCOUNT_NAME,PROG_CODE,FIELD_DES,TRANS_AMT,DR_CR_IND,RUCL_CODE,DOC_CODE,TRANS_DATE,ACTIVITY_DATE,TRANS_DESC,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,33.66,+,INEI,I0534110,10/7/25 9:43,10/7/25 11:10,Grainger,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,117.87,+,INEI,I0534110,10/7/25 9:43,10/7/25 11:10,Grainger,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,7.4,+,INEI,I0534110,10/7/25 9:43,10/7/25 11:10,Grainger,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,13.8,+,INEI,I0534110,10/7/25 9:43,10/7/25 11:10,Grainger,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,19.4,+,INEI,I0534110,10/7/25 9:43,10/7/25 11:10,Grainger,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,11.12,+,INEI,I0534110,10/7/25 9:43,10/7/25 11:10,Grainger,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,3,+,INEI,I0534110,10/7/25 9:43,10/7/25 11:10,Grainger,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,3.52,+,INEI,I0534110,10/7/25 9:43,10/7/25 11:10,Grainger,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,68.4,+,INEI,I0534110,10/7/25 9:43,10/7/25 11:10,Grainger,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,46.68,+,INEI,I0534110,10/7/25 9:43,10/7/25 11:10,Grainger,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,124.32,+,INEI,I0534446,10/14/25 23:59,10/16/25 11:47,Curtis Lumber,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,-124.32,-,CNEI,00825890,10/16/25,10/16/25 11:31,Curtis Lumber,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,95.5,+,INEI,I0535060,10/28/25 12:53,10/28/25 13:47,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,79,+,INEI,I0534688,10/20/25 10:36,10/21/25 10:26,Lowes Business Account/GEMB,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,49.98,+,INEI,I0534689,10/20/25 10:37,10/21/25 10:27,Lowes Business Account/GEMB,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,43.4,+,INEI,I0534990,10/27/25 15:18,10/28/25 10:36,Grainger,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,144.5,+,INEI,I0535578,11/14/25 10:40,11/16/25 4:59,Sherwin Williams,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,132.2,+,INEI,I0535578,11/14/25 10:40,11/16/25 4:59,Sherwin Williams,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,153.1,+,INEI,I0535578,11/14/25 10:40,11/16/25 4:59,Sherwin Williams,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,105.76,+,INEI,I0535578,11/14/25 10:40,11/16/25 4:59,Sherwin Williams,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,5.85,+,INEI,I0535578,11/14/25 10:40,11/16/25 4:59,Sherwin Williams,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,3.8,+,INEI,I0535578,11/14/25 10:40,11/16/25 4:59,Sherwin Williams,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,157.64,+,INEI,I0535218,11/3/25 10:16,11/6/25 13:34,The Home Depot,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,30.56,+,INEI,I0535325,11/4/25 11:38,11/6/25 14:24,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,135.6,+,INEI,I0536143,12/3/25 10:02,12/4/25 11:43,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,13.29,+,INEI,I0536143,12/3/25 10:02,12/4/25 11:43,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,6.99,+,INEI,I0536146,12/3/25 10:04,12/4/25 11:43,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,9.99,+,INEI,I0536146,12/3/25 10:04,12/4/25 11:43,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,9.99,+,INEI,I0536146,12/3/25 10:04,12/4/25 11:43,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,6.99,+,INEI,I0536146,12/3/25 10:04,12/4/25 11:43,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,28.99,+,INEI,I0536160,12/3/25 10:18,12/4/25 11:44,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,3.99,+,INEI,I0536435,12/9/25 10:46,12/10/25 13:26,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,3.79,+,INEI,I0536468,12/9/25 12:30,12/10/25 13:24,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,3.79,+,INEI,I0536468,12/9/25 12:30,12/10/25 13:24,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,12.98,+,INEI,I0536468,12/9/25 12:30,12/10/25 13:24,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,9.99,+,INEI,I0536474,12/9/25 12:34,12/10/25 13:24,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,14.91,+,INEI,I0536476,12/9/25 12:37,12/10/25 13:24,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,14.91,+,INEI,I0536476,12/9/25 12:37,12/10/25 13:24,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
